Patch Number,"Regional strain value, cardiac phase_1","Regional strain value, cardiac phase_2","Regional strain value, cardiac phase_3","Regional strain value, cardiac phase_4","Regional strain value, cardiac phase_5","Regional strain value, cardiac phase_6","Regional strain value, cardiac phase_7","Regional strain value, cardiac phase_8","Regional strain value, cardiac phase_9","Regional strain value, cardiac phase_10","Regional strain value, cardiac phase_11"
4963,0,-0.0286371897947222,-0.122815270008119,-0.0711467457053805,-0.110291992779223,-0.118239820578268,-0.0584448198343837,-0.0788905606770379,-0.0259395013873358,-0.061680816919613,0.0209159193121371
4964,0,-0.00915616231969418,-0.0486715123641469,-0.10243387335574,-0.117484288502199,-0.131535878474001,-0.144982189089365,-0.0934901097565392,-0.0683916304713581,-0.0145856744711812,-0.0211559233495512
4965,0,-0.0192787707459626,-0.0748823271266378,-0.0214159664114451,-0.0740312551308612,-0.0725791470501443,-0.0282022010083243,-0.0420781578430093,0.0161863922010963,-0.052467124716211,0.0229630716874121
4966,0,0.00284252883894864,-0.0113147294972081,-0.0916496307948504,-0.114231367321661,-0.120798142570329,-0.118158456189748,-0.0793001848680263,-0.0528491748346236,0.0137598579455942,-0.0105571131734865
4967,0,-0.0134922645970583,-0.0877397057737115,-0.0479262767145672,-0.0852657413191128,-0.0852620197334595,-0.0509723867050575,-0.0600528841204306,-0.00805852724624123,-0.0654911959842311,0.0177343596635051
4968,0,0.00766379180566745,-0.00586724644256242,-0.0878605715057469,-0.107892698123982,-0.119024009159264,-0.119953104770783,-0.0795968331640785,-0.0531343289651676,0.0130200411019994,-0.0102362843479115
4969,0,-0.0092361590558222,-0.0207374927853814,-0.0102858340921447,-0.0490388660987232,-0.0366416130064477,-0.00392722976569826,-0.0164108450255847,0.064357749637026,-0.0278046300873069,0.0281262615459628
4970,0,0.0178472148155655,-0.00112616974164681,-0.0820917799276848,-0.105959727112398,-0.115993049426511,-0.131103158233763,-0.0915408283412323,-0.0436494490454803,0.00971328941639094,-0.0138265677961905
4971,0,0.00240675863553652,-0.00160501997192475,-0.0115325238014391,-0.0415886771649492,-0.0205190765726521,-0.00508186541108413,-0.0159657389745513,0.0665361087841754,-0.0254352970348609,0.0231402774576637
4972,0,0.0422978606042215,0.0370403450276151,-0.0638146585285149,-0.0960400222478355,-0.0953074473577576,-0.105267368271277,-0.0777426508018715,-0.00657664646472733,0.0334968821129418,-0.00784244165518833
4973,0,0.0130065784507047,-0.0111675032156435,-0.0205465620454823,-0.0475217539546501,-0.0280501000006671,-0.0334969771417795,-0.0332157055628242,0.0325014736430402,-0.0415960679719795,0.0152525033758764
4974,0,0.0462124702937701,0.0388002656034629,-0.0643715484979773,-0.0927001543409155,-0.0955498820831814,-0.109170214310333,-0.0801320902092828,-0.00527923794495622,0.0303038719125011,-0.00732381913428903
