x coordinate,y coordinate,z coordinate
54.375,97.5,56.25
56.25,99.375,56.25
58.125,91.875,54.375
56.25,91.875,56.25
58.125,90,56.25
56.25,101.25,56.25
58.125,103.125,56.25
60,88.125,56.25
58.125,105,56.25
60,106.875,56.25
61.875,88.125,56.25
61.875,106.875,56.25
63.75,86.25,56.25
61.875,108.75,56.25
63.75,110.625,56.25
65.625,86.25,56.25
63.75,112.5,56.25
65.625,114.375,56.25
67.5,84.375,56.25
67.5,116.25,56.25
69.375,84.375,56.25
69.375,118.125,56.25
71.25,82.5,56.25
71.25,118.125,56.25
73.125,82.5,56.25
73.125,118.125,56.25
75,82.5,56.25
75,118.125,56.25
76.875,80.625,56.25
76.875,118.125,56.25
78.75,80.625,56.25
78.75,116.25,56.25
80.625,78.75,56.25
80.625,116.25,56.25
82.5,78.75,56.25
82.5,116.25,56.25
84.375,80.625,56.25
84.375,116.25,56.25
86.25,80.625,56.25
86.25,88.125,56.25
86.25,90,56.25
86.25,116.25,56.25
88.125,80.625,56.25
88.125,86.25,56.25
88.125,88.125,56.25
88.125,90,56.25
88.125,116.25,56.25
90,80.625,56.25
90,86.25,56.25
90,90,56.25
90,114.375,56.25
91.875,82.5,56.25
91.875,86.25,56.25
91.875,88.125,56.25
91.875,114.375,56.25
93.75,82.5,56.25
93.75,86.25,56.25
93.75,88.125,56.25
93.75,114.375,56.25
95.625,84.375,56.25
95.625,86.25,56.25
95.625,112.5,56.25
97.5,86.25,56.25
97.5,112.5,56.25
99.375,84.375,56.25
99.375,110.625,56.25
101.25,84.375,56.25
101.25,108.75,56.25
101.25,110.625,56.25
103.125,82.5,56.25
103.125,106.875,56.25
103.125,108.75,56.25
105,82.5,56.25
105,105,56.25
105,106.875,56.25
106.875,82.5,56.25
106.875,101.25,56.25
106.875,103.125,56.25
108.75,80.625,56.25
108.75,99.375,56.25
110.625,78.75,56.25
110.625,99.375,56.25
112.5,78.75,56.25
112.5,97.5,56.25
114.375,80.625,56.25
114.375,97.5,56.25
114.375,78.75,56.25
116.25,76.875,56.25
116.25,80.625,56.25
116.25,82.5,56.25
116.25,93.75,56.25
116.25,95.625,56.25
118.125,76.875,56.25
118.125,82.5,56.25
118.125,88.125,56.25
118.125,90,56.25
118.125,91.875,56.25
118.125,93.75,56.25
120,76.875,56.25
120,86.25,56.25
120,91.875,56.25
121.875,76.875,56.25
121.875,86.25,56.25
121.875,88.125,56.25
123.75,78.75,56.25
123.75,80.625,56.25
123.75,82.5,56.25
123.75,84.375,56.25
125.625,80.625,56.25
125.625,82.5,56.25
127.5,78.75,56.25
129.375,76.875,56.25
129.375,80.625,56.25
131.25,75,56.25
131.25,80.625,56.25
133.125,76.875,54.375
133.125,75,56.25
133.125,78.75,56.25
135,76.875,56.25
54.375,91.875,58.125
56.25,90,58.125
54.375,93.75,58.125
54.375,95.625,58.125
54.375,97.5,58.125
54.375,99.375,58.125
54.375,101.25,58.125
56.25,103.125,58.125
58.125,88.125,58.125
58.125,105,58.125
60,88.125,58.125
60,106.875,58.125
61.875,86.25,58.125
61.875,108.75,58.125
63.75,86.25,58.125
61.875,110.625,58.125
63.75,112.5,58.125
65.625,84.375,58.125
65.625,114.375,58.125
67.5,84.375,58.125
67.5,116.25,58.125
69.375,82.5,58.125
69.375,118.125,58.125
71.25,82.5,58.125
71.25,118.125,58.125
73.125,80.625,58.125
73.125,118.125,58.125
75,80.625,58.125
75,118.125,58.125
76.875,80.625,58.125
76.875,118.125,58.125
78.75,78.75,58.125
78.75,116.25,58.125
80.625,78.75,58.125
80.625,116.25,58.125
82.5,78.75,58.125
82.5,116.25,58.125
84.375,78.75,58.125
84.375,88.125,58.125
84.375,90,58.125
84.375,116.25,58.125
86.25,78.75,58.125
86.25,86.25,58.125
86.25,90,58.125
86.25,116.25,58.125
88.125,78.75,58.125
88.125,88.125,58.125
88.125,114.375,58.125
90,78.75,58.125
90,88.125,56.25
90,114.375,58.125
91.875,80.625,58.125
91.875,86.25,58.125
91.875,114.375,58.125
93.75,82.5,58.125
93.75,84.375,58.125
93.75,86.25,58.125
93.75,112.5,58.125
95.625,86.25,58.125
95.625,110.625,58.125
97.5,84.375,58.125
97.5,110.625,58.125
99.375,84.375,58.125
99.375,108.75,58.125
101.25,82.5,58.125
101.25,106.875,58.125
103.125,82.5,58.125
103.125,101.25,58.125
103.125,103.125,58.125
103.125,105,58.125
105,80.625,58.125
105,101.25,58.125
105,103.125,58.125
106.875,80.625,58.125
106.875,101.25,58.125
108.75,80.625,58.125
108.75,99.375,58.125
110.625,80.625,58.125
110.625,97.5,58.125
112.5,80.625,58.125
