Patch Number,"Regional strain value, cardiac phase_1","Regional strain value, cardiac phase_2","Regional strain value, cardiac phase_3","Regional strain value, cardiac phase_4","Regional strain value, cardiac phase_5","Regional strain value, cardiac phase_6","Regional strain value, cardiac phase_7","Regional strain value, cardiac phase_8","Regional strain value, cardiac phase_9"
5381,0,-0.034455084148962,-0.13134574190639,-0.174998086578511,-0.172367935719729,-0.168467592632727,-0.098104440740898,-0.0599363127331087,0.0112882264037877
5382,0,-0.0641059274367437,-0.109392838421509,-0.0498834084814098,-0.0795706141001112,-0.0714774375424528,0.0366367287710074,-0.0450704097249756,0.0383505481750954
5383,0,-0.0046526692630896,-0.122097184407683,-0.142553109632428,-0.153906112728305,-0.148852214201767,-0.0542182714702101,-0.0904225604843221,0.0346987413949023
5384,0,-0.0200471907414956,-0.103883403258198,-0.0235780846672785,-0.0599826633743205,-0.0668466978529786,-0.00409703771007863,-0.0595766302981071,0.0269549346319238
5385,0,-0.0487475102735986,-0.12058071873713,-0.195580461934603,-0.152312846353068,-0.162094372259121,-0.130329557917939,-0.0379432195823194,0.00444008363102211
5386,0,-0.00660497825994966,-0.0902978088887574,-0.014922228612958,-0.0599964800638584,-0.0653679387377983,0.00132833095275964,-0.0610093570757225,0.0252290450685508
5387,0,-0.0374588994467462,-0.114728274742559,-0.183161015014197,-0.145708443876181,-0.153597081133239,-0.118952914141583,-0.0536672948627779,0.00888513949106762
5388,0,0.00626035216358978,-0.0780025417703729,-0.0077012714454755,-0.0617279442167387,-0.0650017112941695,0.00475792430499355,-0.0632723808272214,0.0225875436802829
5389,0,-0.0104242793248974,-0.0988634972186919,-0.147968351657628,-0.135120124293233,-0.134826674814772,-0.0929887204796259,-0.0715033253944469,0.0169694048678055
5390,0,0.0184315964867758,-0.0670851243110554,-0.00189798663343965,-0.0650233028941837,-0.0657057210970583,0.00629033276128377,-0.066326506849346,0.0190860482025761
5391,0,0.00489600191236161,-0.0842179803126729,-0.132581449094278,-0.124785178182395,-0.120551675567193,-0.0813970886519907,-0.0839882952058045,0.0258202092337605
5392,0,0.0297998676995663,-0.0576207950914545,0.00251696821874603,-0.0697164594613131,-0.0674321659401449,0.00604324358222152,-0.070125442248359,0.0147854112151182
5393,0,-0.0331034496550034,-0.0963616067653604,-0.168235297377558,-0.136152006906288,-0.149949306025973,-0.149605370104531,-0.0536769070815697,-0.0165812450449255
5394,0,0.0267675945175865,-0.0546783775830498,-0.00384923421766781,-0.0821905398724964,-0.0707400541998413,0.0120087891581211,-0.0705272006564626,0.0145741987272272
