Patch Number,"Regional strain value, cardiac phase_1","Regional strain value, cardiac phase_2","Regional strain value, cardiac phase_3","Regional strain value, cardiac phase_4","Regional strain value, cardiac phase_5","Regional strain value, cardiac phase_6","Regional strain value, cardiac phase_7","Regional strain value, cardiac phase_8","Regional strain value, cardiac phase_9","Regional strain value, cardiac phase_10","Regional strain value, cardiac phase_11"
8144,0,-0.10096404230117,-0.126828084941528,-0.123336407864618,-0.149669796032712,-0.117140290983669,-0.145528231208581,-0.116923357975363,-0.129602484323679,-0.0838230076650834,-0.0174092332474386
8145,0,0.00358240656396847,-0.00497723926430205,-0.0420963934985252,-0.0566743248891789,-0.0886886383318435,-0.0766079555555289,-0.0503016180126785,-0.0748402407806785,-0.00244899202889015,-0.00756882241373458
8146,0,-0.0663150985944649,-0.107255957692431,-0.107468648636684,-0.130897252907971,-0.103130940548594,-0.131692437906,-0.122047713751011,-0.122693707595144,-0.0796450211104702,-0.0260182145851303
8147,0,0.0373321651077032,0.00211603846271302,-0.0279827642844974,-0.0376107498301975,-0.0751863544884117,-0.0679686322431294,-0.0412621484779572,-0.0784497235601219,-0.0121562688630759,-0.00821045745181637
8148,0,-0.0537104749540693,-0.0868519596441991,-0.117230027011388,-0.0996462927525569,-0.0796435222124793,-0.0999170297127479,-0.115993286324674,-0.109280402815557,-0.06216227744143,-0.0559844576244651
8149,0,-0.0857149884689684,-0.087491111393056,-0.154684010210814,-0.104186264033106,-0.0742751825174348,-0.0997605013705374,-0.120878276254485,-0.131696377285748,-0.081857977482729,-0.092054930511536
8150,0,-0.0483801509882945,-0.0841491098343187,-0.117877264514251,-0.0973980735145014,-0.0679877887224003,-0.100594218172179,-0.122172086266767,-0.126567684791381,-0.080382102100705,-0.0674966611522526
8151,0,0.0435246729736918,-0.0103378339925085,-0.0408956963297945,-0.0412097179377234,-0.0682829448221163,-0.0824833946614841,-0.0441503823534225,-0.0608151244961121,-0.00613258318721932,-0.00387163886411379
8152,0,0.0686851728840749,0.00494585630220423,-0.0246656673614731,-0.0341359125449222,-0.0590464698842545,-0.0844977776410584,-0.044837120280216,-0.0491649568267896,-0.0195742307572583,-0.000416786987381235
8153,0,0.0357697505337378,-0.0124441278522947,-0.0474227191303486,-0.0448964375619677,-0.0663294502006269,-0.0776246398549564,-0.048288692840556,-0.082460062264594,-0.0159127651089133,-0.016992395127812
8154,0,-0.0265695670043998,-0.0908259874647179,-0.0944816720113232,-0.0818444909018511,-0.0648305313625542,-0.0847238405611164,-0.0986413408566772,-0.0996997823337771,-0.0501601135677863,-0.041380361484904
