Patch Number,"Regional strain value, cardiac phase_1","Regional strain value, cardiac phase_2","Regional strain value, cardiac phase_3","Regional strain value, cardiac phase_4","Regional strain value, cardiac phase_5","Regional strain value, cardiac phase_6","Regional strain value, cardiac phase_7","Regional strain value, cardiac phase_8","Regional strain value, cardiac phase_9"
1500,0,-0.172142417147685,-0.200244685052131,-0.23157634844837,-0.236981796686508,-0.224590800410816,-0.160425324440896,-0.0243167870748593,-0.0339550147451667
1501,0,-0.148033081998232,-0.184069896063576,-0.221683215991719,-0.229382960812551,-0.207011144813186,-0.150717592492141,-0.0235448286029684,-0.0306393437446649
1502,0,-0.154794372401599,-0.16514666286479,-0.224879674661694,-0.359811755760344,-0.205220594148458,-0.0658542432427136,-0.114725680886167,-0.116216418012004
1503,0,-0.149626444445292,-0.102898077569492,-0.188105534652318,-0.099504177687795,-0.182886076646425,-0.149223639908482,0.0849953164099524,-0.036517505941795
1504,0,-0.0988415317122134,-0.0732272728456208,-0.169716308053247,-0.0819764307440568,-0.167949101995924,-0.116202453044704,0.089009797875885,-0.0227074865387946
1505,0,-0.0859302904001922,-0.145247170118995,-0.219371518787192,-0.366586958963956,-0.199531258268252,-0.0533071435379963,-0.219157207436577,-0.0960446436838974
1506,0,-0.118626228095442,-0.0827994248209462,-0.176370477125105,-0.0933739683761724,-0.178725378934905,-0.117773463833879,0.0622174826748363,-0.027043804267026
1507,0,-0.121268751213672,-0.125271061678025,-0.192698184937657,-0.312161206916326,-0.163362126476723,-0.0580296553745722,-0.251947053252432,-0.0845880472791266
1508,0,-0.145083291672849,-0.119414075106178,-0.196341155918335,-0.157074489394213,-0.211931401457486,-0.0921544548845717,-0.00719941445955485,-0.0212239930646685
1509,0,-0.105348593522218,-0.111922001740183,-0.151861099772257,-0.271171335189231,-0.142964087716342,-0.0384364104845282,-0.134975958580827,-0.069926457321196
1510,0,-0.132557269718259,-0.108948895182588,-0.17909206011782,-0.125307587407667,-0.195774562372349,-0.100546004371231,0.0198841110668699,-0.0229963292099173
1511,0,-0.0880812708990464,-0.11248016599353,-0.13347708869286,-0.251510715269047,-0.126128325577726,-0.029276139866894,-0.108478162056104,-0.0620857344619898
1512,0,-0.140288075267847,-0.101440588337643,-0.176621839773421,-0.126961841256538,-0.190611787382045,-0.0941322223906244,0.0114392387370266,-0.0114172929102923
1513,0,-0.0657104633171077,-0.0945631901049193,-0.0986098414236506,-0.212718951713822,-0.0943964562347124,-0.0126629243033833,-0.0929305330764624,-0.0400862429897224
1514,0,-0.141231832185192,-0.0905168381640219,-0.168544590166705,-0.109964448761476,-0.178807156449054,-0.107709280561955,0.0130856313816421,-0.0135459370259217
1515,0,-0.0532151296897928,-0.069625884550057,-0.0933739034763149,-0.198846772523382,-0.107749701688733,-0.0188808545692277,-0.158906615740196,-0.0244378996951051
1516,0,-0.146726923600038,-0.0705972601969381,-0.155552684259522,-0.107691628341969,-0.165109998041859,-0.0901756686003067,0.0105699658113934,0.0184073806093148
1517,0,-0.0416453128615075,-0.0499916314776306,-0.073496061535565,-0.171503106105554,-0.101494444716818,-0.015419445358955,-0.178695230979872,-0.00440231528972745
1518,0,-0.230999144181573,-0.155222286126735,-0.187901159207655,-0.191580140677467,-0.220068592446684,-0.0593236127954487,-0.0388487693462842,-0.00268692437261964
1519,0,-0.0203600730581246,-0.0503087867201788,-0.0774164014181384,-0.183048755560671,-0.114563704902372,-0.0126872705525087,-0.212079418444046,-0.00917069457519082
1520,0,-0.197474738626237,-0.170238160040982,-0.192310025063805,-0.184932087931888,-0.215497002520039,-0.0773747674905311,-0.0232490862345786,-0.0173891944040693
1521,0,-0.0357054288254158,-0.0591167574437236,-0.0866739506849642,-0.199238526717343,-0.102854638105797,-0.0241856501385863,-0.330733382945846,-0.0176406233946532
1522,0,-0.124350951634133,-0.123092990428076,-0.152881979449609,-0.129141281711219,-0.170003645736228,-0.0890646367613068,0.0134258600602699,0.0016414144060457
1523,0,-0.0149960783253,-0.0540737436549852,-0.0860381296646286,-0.184726685566808,-0.100252677124555,-0.0231965343752873,-0.260436302492517,-0.0230020746578706
1524,0,-0.11241445413765,-0.110670545923539,-0.136737550986609,-0.107127536865743,-0.150682569265172,-0.0967816065572038,0.024579420454294,0.0095030789971049
1525,0,0.00318585408901395,-0.0484789787116823,-0.0892326109988523,-0.170376319532429,-0.0969744377397942,-0.0237973189353606,-0.181133407143704,-0.0322016599324776
1526,0,-0.110545448602571,-0.135714705403311,-0.150455725535163,-0.143967131675579,-0.161744903989838,-0.0782451268885707,0.0157440580982131,0.0249513872676665
1527,0,0.000588418852236927,-0.0331880821291843,-0.0704886170846767,-0.151817195742427,-0.0831769805457777,-0.0202644786868468,-0.20663764268632,-0.017087704054463
1528,0,-0.113082747000038,-0.0587716648159174,-0.0930315879518647,-0.0476207960967059,-0.103914190131943,-0.134879386364562,0.0218014549427648,0.00755473966427145
1529,0,0.0190322309981026,-0.0285973212282185,-0.0743551683003548,-0.138700366484214,-0.0777785621308026,-0.0158248606296663,-0.139251001034645,-0.0243960577465639
1530,0,-0.10537610135836,-0.0611817687904626,-0.0880451135877803,-0.0533685011589287,-0.0962076409937092,-0.123921765440392,0.0243323386482277,0.0252431003857325
1531,0,0.0251000838128501,-0.0199645813202328,-0.0704663447316475,-0.124738904395655,-0.0704807518920842,-0.0103597608883252,-0.117187405203841,-0.0176812264325019
1532,0,-0.0989469193755865,-0.103213141360476,-0.114282423475389,-0.106613178820642,-0.115087308506048,-0.0921278042116448,0.0225348587509442,0.0456288160915721
1533,0,0.019629186617899,-0.0282039016684654,-0.0827552173199362,-0.116365369427533,-0.0511374274304705,-0.0051537285466029,-0.0874115327041201,-0.0202924414074739
1534,0,-0.0937957365108856,-0.0990479204613893,-0.10837939983073,-0.0980666137562792,-0.103970663740675,-0.102436775732889,0.0186822722174513,0.04515073778862
1535,0,0.0173683885742517,-0.0363478149415575,-0.0929179598856098,-0.106187373558752,-0.0309660019669508,0.00536021729639158,-0.0629266606972857,-0.019938126593162
1536,0,-0.0913222063233186,-0.0947401018541296,-0.102733910161533,-0.0906459188573955,-0.0944694133092006,-0.112978562441511,0.0131303426669893,0.0432751148355444
1537,0,0.0244705412339001,-0.029187138445483,-0.0865977858026756,-0.0920196114991578,-0.0260123151840853,0.0166612596242242,-0.0390483919321801,-0.00936609981019731
1538,0,-0.0866568455770271,-0.0714774998957387,-0.0704260048661851,-0.0543277248756672,-0.0743136277573752,-0.152938708157343,-0.0186984757213058,0.0148541998890399
1539,0,0.0361418045055317,-0.0302780075178271,-0.0746791180740615,-0.0760147201886439,-0.0158882612429172,0.0219452994110536,-0.018617719463308,0.00187555097171699
1540,0,-0.0796539240935605,-0.0619067128778007,-0.0597184911954274,-0.0432123405942511,-0.0590075423088589,-0.166338105433399,-0.0323650182796057,0.0146025805937737
1541,0,0.0440638687926556,-0.0286664045498315,-0.0602350876767723,-0.0549151955745313,-0.00820441663693927,0.0249118306018061,0.00567800580873401,0.0193247523581901
1542,0,0.0428795187459929,-0.0328730289481058,-0.0655297285567624,-0.0631869291596286,-0.00877619433168941,0.0197052561612214,-0.008275617936921,0.0107571145980754
1543,0,-0.0758077170961632,-0.0665539542825626,-0.0688127474149796,-0.0524082994187401,-0.0526417890136986,-0.158905113851972,-0.0280401698409145,0.0296584488228855
1544,0,0.0173153037217493,-0.0280743285952801,-0.064665035486527,-0.0470724461604352,-0.0111511212835643,0.0294805032840233,0.0290249329448131,0.0298541568704194
